y,time,total_20,male_20,female_20
3.5,2005.12,7.6,8.5,6.7
3.8,2006.01,7.8,9.2,6.4
4.1,2006.02,8.6,9.9,7.5
3.9,2006.03,8.5,9.7,7.4
3.5,2006.04,8,9.5,6.6
3.2,2006.05,7.2,8.5,6.1
3.4,2006.06,7.7,8.8,6.6
3.4,2006.07,8,9,7
3.4,2006.08,7.5,8,7
3.2,2006.09,7.3,8.9,5.8
3.3,2006.1,7.9,9.7,6.2
3.2,2006.11,7.4,9.2,5.7
3.3,2006.12,7.5,9.2,5.9
3.6,2007.01,7.3,9.3,5.5
3.7,2007.02,7.7,9.6,5.7
3.5,2007.03,7.4,8.9,5.9
3.4,2007.04,7.6,9.4,5.8
3.2,2007.05,7,8.8,5.3
3.2,2007.06,7.1,8.9,5.5
3.3,2007.07,7.2,9.3,5.2
3.1,2007.08,6.6,9,4.3
3,2007.09,7,9.3,4.8
3,2007.1,6.5,8.5,4.5
3,2007.11,7,8.8,5.2
3.1,2007.12,7,8.7,5.5
3.3,2008.01,6.8,8.1,5.6
3.5,2008.02,7.4,8.5,6.4
3.4,2008.03,7.7,9.3,6.1
3.2,2008.04,7.4,9.3,5.6
3.1,2008.05,6.9,8.3,5.7
3.1,2008.06,7.3,8.1,6.6
3.1,2008.07,7,8.6,5.5
3.1,2008.08,6.9,8.4,5.6
3,2008.09,6,7.1,5
3,2008.1,6.7,8,5.4
3,2008.11,6.6,8.3,5
3.3,2008.12,7,8.8,5.2
3.6,2009.01,7.7,9.5,6
3.9,2009.02,8.5,10.7,6.5
4,2009.03,8.7,11.2,6.4
3.8,2009.04,7.9,9.5,6.4
3.8,2009.05,7.5,8.9,6.2
3.8,2009.06,7.9,9.7,6.1
3.7,2009.07,8,9.6,6.4
3.7,2009.08,8,9.7,6.3
3.3,2009.09,7.6,9.7,5.7
3.2,2009.1,7.4,8.7,6.1
3.3,2009.11,7.3,9,5.8
3.5,2009.12,7.2,8.3,6.2
5,2010.01,8.6,9.2,8
4.8,2010.02,9.7,10.6,8.9
4.1,2010.03,8.8,10.4,7.2
3.7,2010.04,8.3,9.9,6.8
3.2,2010.05,6.3,7.2,5.4
3.5,2010.06,7.5,9.2,5.8
3.7,2010.07,8.2,9.8,6.6
3.3,2010.08,7,8.3,5.9
3.4,2010.09,7.2,8.9,5.6
3.3,2010.1,7,8.4,5.8
3,2010.11,6.4,7.5,5.4
3.5,2010.12,7.4,8.6,6.2
3.8,2011.01,8,9.2,6.8
4.5,2011.02,8.3,9.4,7.2
4.3,2011.03,9.3,11.2,7.5
3.7,2011.04,8.7,11.3,6.2
3.2,2011.05,7.4,9.1,5.8
3.3,2011.06,7.3,8.1,6.5
3.3,2011.07,6.9,8.1,5.8
3,2011.08,6.2,7.3,5.1
3,2011.09,6.2,7,5.4
2.9,2011.1,6.6,8,5.3
2.9,2011.11,6.7,8.1,5.3
3,2011.12,7.4,8.7,6.1
3.5,2012.01,7.6,8.8,6.5
4.2,2012.02,8.2,8.7,7.8
3.7,2012.03,8.3,9.7,6.9
3.5,2012.04,8.6,9.9,7.4
3.1,2012.05,8.1,9,7.3
3.2,2012.06,7.6,8.4,6.8
3.1,2012.07,7,8,6.1
3,2012.08,6.5,7,5.9
2.9,2012.09,6.5,7.6,5.6
