date,close
2021.11.18,70200
2021.11.19,71200
2021.11.22,74900
2021.11.23,75300
2021.11.24,74800
2021.11.25,73700
2021.11.26,72300
2021.11.29,72300
2021.11.30,71300
2021.12.1,74400
2021.12.2,75800
2021.12.3,75600
2021.12.6,76300
2021.12.7,77400
2021.12.8,77400
2021.12.9,78200
2021.12.10,76900
2021.12.13,76800
2021.12.14,77000
2021.12.15,77600
2021.12.16,77800
2021.12.17,78000
2021.12.20,77100
2021.12.21,78100
2021.12.22,79400
2021.12.23,79900
2021.12.24,80500
2021.12.27,80200
2021.12.28,80300
2021.12.29,78800
2021.12.30,78300
2022.1.4,78700
2022.1.5,77400
2022.1.6,76900
2022.1.7,78300
2022.1.10,78000
2022.1.11,78900
2022.1.12,78900
2022.1.13,77900
2022.1.14,77300
2022.1.17,77500
2022.1.18,77000
2022.1.19,76300
2022.1.20,76500
2022.1.21,75600
2022.1.24,75100
2022.1.25,74000
2022.1.26,74000
2022.1.27,71300
2022.1.28,73300
2022.2.3,73300
2022.2.4,74000
2022.2.7,73000
2022.2.8,73000
2022.2.9,73000
2022.2.10,75400
2022.2.11,74900
2022.2.14,73700
2022.2.15,73700
2022.2.16,74800
2022.2.17,75000
2022.2.18,74300
2022.2.21,74300
2022.2.22,74300
2022.2.23,74300
2022.2.24,71500
2022.2.25,71900
2022.2.28,71900
2022.3.2,71700
2022.3.3,72900
2022.3.4,72900
2022.3.7,70100
2022.3.8,69500
2022.3.10,69500
2022.3.11,70000
2022.3.14,70200
2022.3.15,70200
2022.3.16,70400
2022.3.17,70400
2022.3.18,70700
2022.3.21,69900
2022.3.22,70300
2022.3.23,70500
2022.3.24,69800
2022.3.25,69800
2022.3.28,69700
2022.3.29,70200
2022.3.30,69900
2022.3.31,69600
2022.4.1,69100
2022.4.4,69300
2022.4.5,69200
2022.4.6,68500
2022.4.7,68000
2022.4.8,67800
2022.4.11,67900
2022.4.12,67000
2022.4.13,68700
2022.4.14,67500
2022.4.15,66600
2022.4.18,66700
2022.4.19,67300
2022.4.20,67400
2022.4.21,67700
2022.4.22,67000
2022.4.25,66300
2022.4.26,66100
2022.4.27,65000
2022.4.28,64800
2022.4.29,67400
2022.5.2,67300
2022.5.3,67500
2022.5.4,67900
2022.5.6,66500
2022.5.10,65700
2022.5.11,65700
2022.5.12,64900
2022.5.13,66500
2022.5.16,66300
2022.5.17,67600
2022.5.18,68100
2022.5.19,67500
2022.5.20,68000
2022.5.23,67900
2022.5.24,66500
2022.5.25,66400
2022.5.26,65900
2022.5.27,66500
2022.5.30,67700
2022.5.31,67400
2022.6.2,66700
2022.6.3,66800
2022.6.7,65500
2022.6.8,65300
2022.6.9,65200
2022.6.10,63800
2022.6.13,62100
2022.6.14,61900
2022.6.15,60700
2022.6.16,60900
2022.6.17,59800
2022.6.20,58700
2022.6.21,58500
2022.6.22,57600
2022.6.23,57400
2022.6.24,58400
2022.6.27,58800
2022.6.28,59400
2022.6.29,58000
2022.6.30,57000
2022.7.1,56200
2022.7.4,57100
2022.7.5,57200
2022.7.6,56400
2022.7.7,58200
2022.7.8,58700
2022.7.11,58800
2022.7.12,58100
2022.7.13,58000
2022.7.14,57500
2022.7.15,60000
2022.7.18,61900
2022.7.19,60900
2022.7.20,60500
2022.7.21,61800
2022.7.22,61300
2022.7.25,61100
2022.7.26,61700
2022.7.27,61800
2022.7.28,61900
2022.7.29,61400
2022.8.1,61300
2022.8.2,61700
2022.8.3,61300
2022.8.4,61500
2022.8.5,61500
2022.8.8,60800
2022.8.9,60000
2022.8.10,59100
2022.8.11,59900
2022.8.12,60200
2022.8.16,61000
2022.8.17,60400
2022.8.18,61500
2022.8.19,60900
2022.8.22,60000
2022.8.23,59100
2022.8.24,59000
2022.8.25,59700
2022.8.26,60000
2022.8.29,58600
2022.8.30,58800
2022.8.31,59700
2022.9.1,58400
2022.9.2,57500
2022.9.5,57100
2022.9.6,57100
2022.9.7,56000
2022.9.8,55600
2022.9.13,58100
2022.9.14,56800
2022.9.15,56000
2022.9.16,56200
2022.9.19,56400
2022.9.20,55800
2022.9.21,55300
2022.9.22,54400
2022.9.23,54500
2022.9.26,53900
2022.9.27,54200
2022.9.28,52900
2022.9.29,52600
2022.9.30,53100
2022.10.4,55200
2022.10.5,56000
2022.10.6,56300
2022.10.7,56200
2022.10.11,55400
2022.10.12,55800
2022.10.13,55200
2022.10.14,56300
2022.10.17,56600
2022.10.18,56500
2022.10.19,55800
2022.10.20,55500
2022.10.21,55900
2022.10.24,57500
2022.10.25,57700
2022.10.26,59400
2022.10.27,59500
2022.10.28,57300
2022.10.31,59400
2022.11.1,60000
2022.11.2,59600
2022.11.3,59200
2022.11.4,59400
2022.11.7,60200
2022.11.8,61800
2022.11.9,62000
2022.11.10,60400
2022.11.11,62900
2022.11.14,61900
2022.11.15,62400
2022.11.16,62700
2022.11.17,61400
2022.11.18,61800
2022.11.21,61400
2022.11.22,60600
2022.11.23,61000
2022.11.24,61400
2022.11.25,61000
2022.11.28,60100
2022.11.29,60600
2022.11.30,62200
2022.12.1,62600
2022.12.2,60400
2022.12.5,60300
2022.12.6,59200
2022.12.7,58900
2022.12.8,59200
2022.12.9,60400
2022.12.12,59500
2022.12.13,59700
2022.12.14,60500
2022.12.15,59300
2022.12.16,59500
2022.12.19,59500
2022.12.20,58600
2022.12.21,58000
2022.12.22,59100
2022.12.23,58100
2022.12.26,57900
2022.12.27,58100
2022.12.28,56600
2022.12.29,55300
2023.1.2,55500
2023.1.3,55400
2023.1.4,57800
2023.1.5,58200
2023.1.6,59000
2023.1.9,60700
2023.1.10,60400
2023.1.11,60500
2023.1.12,60500
2023.1.13,60800
2023.1.16,61100
2023.1.17,61000
2023.1.18,60400
2023.1.19,61500
2023.1.20,61800
2023.1.25,63300
2023.1.26,63800
2023.1.27,64600
2023.1.30,63300
2023.1.31,61400
2023.2.1,61000
2023.2.2,63500
2023.2.3,63500
2023.2.6,61600
2023.2.7,62000
2023.2.8,63100
2023.2.9,63300
2023.2.10,62900
2023.2.13,62900
2023.2.14,63200
2023.2.15,62200
2023.2.16,63700
2023.2.17,62600
2023.2.20,62700
2023.2.21,62100
2023.2.22,61100
2023.2.23,62000
2023.2.24,61300
2023.2.27,60500
2023.2.28,60600
2023.3.2,60800
2023.3.3,60500
2023.3.6,61500
2023.3.7,60700
2023.3.8,60300
2023.3.9,60100
2023.3.10,59500
2023.3.13,60000
2023.3.14,59000
2023.3.15,59800
2023.3.16,59900
2023.3.17,61300
2023.3.20,60200
2023.3.21,60300
2023.3.22,61100
2023.3.23,62300
2023.3.24,63000
2023.3.27,62100
2023.3.28,62900
2023.3.29,62700
2023.3.30,63200
2023.3.31,64000
2023.4.3,63100
2023.4.4,63600
2023.4.5,63900
2023.4.6,62300
2023.4.7,65000
2023.4.10,65700
2023.4.11,65900
2023.4.12,66000
